house,courage,ambition,loyalty,intelligence,bravery
Hufflepuff,3,5,9,7,3
Hufflepuff,4,4,10,3,3
Gryffindor,10,8,1,7,8
Slytherin,4,9,1,5,5
Hufflepuff,3,7,6,7,6
Ravenclaw,2,3,4,8,5
Ravenclaw,4,8,5,7,1
Ravenclaw,2,6,5,8,4
Ravenclaw,5,8,5,9,1
Gryffindor,9,6,7,7,9
Gryffindor,8,6,4,5,10
Gryffindor,5,6,8,5,10
Gryffindor,6,6,4,6,7
Ravenclaw,4,2,7,9,5
Hufflepuff,6,8,10,6,5
Slytherin,6,9,4,5,6
Slytherin,4,9,3,5,4
Hufflepuff,5,6,8,1,5
Gryffindor,5,6,4,4,9
Ravenclaw,2,5,4,7,4
Gryffindor,7,5,5,5,10
Gryffindor,10,5,5,7,7
Hufflepuff,2,2,8,7,4
Hufflepuff,5,2,8,5,3
Hufflepuff,6,2,8,7,5
Ravenclaw,1,4,3,8,6
Ravenclaw,1,5,7,9,3
Hufflepuff,3,5,9,5,5
Ravenclaw,6,7,1,10,3
Slytherin,2,10,6,8,3
Gryffindor,5,4,8,4,8
Ravenclaw,7,4,3,8,3
Slytherin,4,9,3,8,7
Hufflepuff,2,1,8,3,6
Hufflepuff,4,4,9,4,6
Hufflepuff,1,2,7,4,6
Ravenclaw,2,1,2,10,3
Slytherin,2,9,6,5,7
Gryffindor,6,1,7,3,7
Ravenclaw,5,6,6,8,6
Ravenclaw,1,9,2,10,5
Gryffindor,8,3,5,9,9
Ravenclaw,4,6,4,9,8
Ravenclaw,3,1,5,8,6
Ravenclaw,3,6,8,8,1
Slytherin,4,9,6,7,8
Slytherin,2,9,3,5,6
Ravenclaw,6,4,2,10,2
Gryffindor,7,6,10,6,9
Ravenclaw,8,4,5,9,5
Ravenclaw,6,8,5,8,5
Gryffindor,10,5,4,5,8
Slytherin,2,10,3,3,2
Hufflepuff,7,4,9,3,6
Slytherin,8,7,7,8,4
Ravenclaw,3,6,4,8,7
Gryffindor,6,6,7,1,6
Gryffindor,7,4,7,5,8
Slytherin,4,10,2,6,5
Ravenclaw,3,7,6,9,6
Gryffindor,8,8,7,6,9
Slytherin,5,8,4,8,6
Gryffindor,4,5,8,6,8
Hufflepuff,5,2,8,5,7
Hufflepuff,3,1,7,4,7
Ravenclaw,1,7,6,9,5
Hufflepuff,3,3,6,7,1
Ravenclaw,6,5,5,9,3
Ravenclaw,3,3,7,8,4
Ravenclaw,3,2,6,8,2
Slytherin,3,8,1,5,4
Gryffindor,7,6,4,4,9
Slytherin,8,7,4,9,4
Slytherin,2,9,1,7,4
Hufflepuff,3,4,9,8,5
Hufflepuff,5,3,9,2,4
Hufflepuff,3,2,9,5,4
Slytherin,4,9,7,7,7
Gryffindor,6,10,8,5,10
Hufflepuff,6,6,7,2,1
Hufflepuff,5,7,9,4,5
Gryffindor,4,4,7,5,7
Slytherin,1,10,4,4,5
Hufflepuff,1,4,8,3,2
Hufflepuff,5,6,9,5,6
Slytherin,3,8,2,4,4
Slytherin,4,8,2,6,8
Ravenclaw,4,4,4,9,6
Gryffindor,8,5,5,6,9
Slytherin,8,9,2,7,6
Hufflepuff,2,1,9,4,5
Gryffindor,5,3,3,9,9
Hufflepuff,4,8,10,6,9
Ravenclaw,7,4,3,10,2
Slytherin,4,7,4,6,4
Slytherin,1,8,2,7,3
Ravenclaw,5,6,4,9,6
Slytherin,6,10,7,8,3
Slytherin,6,8,7,7,4
Slytherin,5,8,1,5,5
Slytherin,9,7,1,7,3
Hufflepuff,5,6,9,3,9
Hufflepuff,4,4,9,6,6
Hufflepuff,4,4,8,7,5
Ravenclaw,6,6,6,9,3
Slytherin,3,6,4,6,6
Ravenclaw,8,4,5,9,1
Gryffindor,10,5,5,7,6
Ravenclaw,5,1,1,8,6
Ravenclaw,7,6,7,9,5
Ravenclaw,6,6,4,8,4
Slytherin,8,10,2,6,3
Gryffindor,5,10,8,5,9
Ravenclaw,4,1,5,7,3
Slytherin,2,8,1,5,6
Ravenclaw,5,9,5,9,6
Ravenclaw,7,6,3,8,4
Slytherin,4,10,5,5,4
Gryffindor,9,3,4,6,10
Slytherin,4,7,1,6,8
Hufflepuff,5,1,10,3,3
Slytherin,3,7,5,5,4
Gryffindor,6,3,4,2,10
Slytherin,4,8,2,6,3
Ravenclaw,1,6,5,10,1
Slytherin,10,7,4,7,4
Hufflepuff,3,5,9,6,7
Hufflepuff,1,5,7,3,5
Gryffindor,10,5,8,6,8
Hufflepuff,2,1,10,2,3
Slytherin,4,8,3,9,3
Gryffindor,10,5,5,4,9
Slytherin,5,9,1,6,9
Gryffindor,2,9,7,4,8
Hufflepuff,2,3,9,6,6
Ravenclaw,6,5,3,9,1
Gryffindor,10,4,4,4,8
Gryffindor,9,2,7,5,9
Ravenclaw,4,7,5,8,4
Ravenclaw,7,3,7,8,10
Hufflepuff,1,3,7,5,5
Hufflepuff,5,1,9,4,5
Gryffindor,5,1,7,9,8
Slytherin,4,9,5,8,1
Hufflepuff,6,2,9,8,6
Gryffindor,10,7,8,5,9
Gryffindor,10,7,6,5,9
Gryffindor,6,5,3,3,10
Ravenclaw,4,3,6,9,4
Hufflepuff,3,1,9,2,7
Hufflepuff,7,1,9,7,7
Gryffindor,9,5,7,6,10
Ravenclaw,10,3,3,7,4
Ravenclaw,3,3,6,8,3
Slytherin,5,9,1,8,4
Ravenclaw,3,6,4,8,6
Gryffindor,7,3,5,7,8
Gryffindor,6,6,4,5,8
Hufflepuff,5,1,9,9,5
Slytherin,1,8,4,5,6
Ravenclaw,1,3,4,7,4
Gryffindor,7,3,6,2,7
Ravenclaw,4,5,6,9,5
Hufflepuff,7,3,10,6,8
Gryffindor,8,8,5,7,8
Gryffindor,7,6,7,8,10
Slytherin,5,8,3,8,3
Hufflepuff,6,4,8,5,7
Hufflepuff,6,1,8,3,4
Hufflepuff,3,5,9,7,2
Slytherin,6,9,5,5,6
Slytherin,6,10,1,5,5
Gryffindor,6,4,5,8,8
Hufflepuff,6,1,8,2,4
Hufflepuff,3,5,9,6,4
Hufflepuff,4,5,8,8,2
Slytherin,4,10,1,4,6
Hufflepuff,6,4,8,6,4
Ravenclaw,2,5,4,7,4
Gryffindor,8,5,7,5,10
Slytherin,8,10,4,3,3
Slytherin,4,7,5,5,6
Gryffindor,7,2,4,9,10
Ravenclaw,6,3,4,8,2
Slytherin,3,7,4,5,4
Hufflepuff,7,4,7,6,6
Slytherin,5,8,4,8,7
Gryffindor,10,6,6,7,9
Slytherin,4,10,5,10,7
Hufflepuff,5,4,10,4,5
Slytherin,8,10,8,6,4
Gryffindor,3,6,4,5,10
Slytherin,6,7,2,6,2
Slytherin,4,10,3,8,6
Ravenclaw,7,6,5,10,6
Gryffindor,10,8,5,8,8
Slytherin,6,10,1,3,7
Gryffindor,7,5,4,6,8
Gryffindor,6,4,9,2,10
Hufflepuff,6,3,7,2,7
